,time,P2_5,unknown,P10,UV,CO,Fire,H2,Temp,Hum,Lat,Long, Alt
18,3/23/2024 11:00,23,0.21,7.41,1.5,1.31,99,1.43,22.46,46.94,45.71965823,16.3408907,159
148,3/23/2024 11:00,44,0.21,5.85,1.5,0.92,99,1.13,22.35,46.44,45.719999,16.34187077,160
3,3/23/2024 11:01,65,0.21,6.03,1.5,0.87,99,1.13,22.82,46,45.719999,16.34279183,160
142,3/23/2024 11:01,91,0.14,5.37,1.5,0.71,99,1.03,22.72,46.1,45.719999,16.34361717,160
117,3/23/2024 11:02,112,0.1,5.47,1.5,0.68,99,1.01,22.72,46.6,45.719999,16.34431387,160
26,3/23/2024 11:02,134,0.17,5.45,1.5,0.7,99,1.02,23.12,47,45.719999,16.34485418,164
28,3/23/2024 11:04,245,0.2,5.32,1.5,0.64,99,0.97,24,44.6,45.719999,16.34521653,165
147,3/23/2024 11:04,281,0.2,5.32,1.5,0.64,99,0.97,24.58,42.9,45.71964822,16.3453865,166
53,3/23/2024 11:05,302,0.1,5.12,1.5,0.63,99,0.97,25.08,41.67,45.71889141,16.3453573,167
42,3/23/2024 11:05,323,0.14,5.15,1.5,0.61,99,0.95,25.34,40.13,45.71791388,16.3451301,170
143,3/23/2024 11:05,345,0.17,5.27,1.5,0.62,99,0.96,25.77,39.7,45.71695496,16.34471395,171
52,3/23/2024 11:06,366,0.21,5.22,1.5,0.62,89,0.96,26.07,40,45.71624942,16.34412545,172
1,3/23/2024 11:16,2,0.01,5.57,1.5,0.75,99,1.1,25.07,39.01,45.71597,16.34338806,173
123,3/23/2024 11:16,26,0.1,4.91,1.5,0.63,99,0.93,25.17,38.6,45.71618512,16.34253117,174
146,3/23/2024 11:17,47,0.09,5.01,1.5,0.61,99,0.93,25.17,38.1,45.71684211,16.34158895,175
81,3/23/2024 11:17,68,0.13,4.97,1.5,0.56,93,0.91,24.91,38.7,45.71778011,16.34059895,176
100,3/23/2024 11:17,90,0.25,5.81,1.5,0.55,99,0.91,25.57,38.7,45.71876947,16.33960066,177
75,3/23/2024 11:18,112,0.35,8.32,1.5,0.59,99,0.93,25.75,38.97,45.71956796,16.33863386,169
63,3/23/2024 11:18,133,0.29,6.93,1.5,0.55,99,0.91,25.76,38.7,45.71998007,16.3377371,169
46,3/23/2024 11:19,172,0.09,4.97,1.5,0.6,99,0.95,25.88,40.5,45.71990492,16.33694614,169
140,3/23/2024 11:19,194,0.17,4.78,1.5,0.59,99,0.94,26.24,40.4,45.7193609,16.33629249,169
86,3/23/2024 11:19,215,0.19,5.07,1.5,0.58,99,0.94,25.88,40.2,45.71848121,16.33580223,169
37,3/23/2024 11:20,236,0.19,4.95,1.5,0.58,99,0.93,26.26,39.57,45.71748122,16.3354949,169
137,3/23/2024 11:20,257,0.17,4.85,1.5,0.57,99,0.93,26.72,38.94,45.71660576,16.33538275,169
44,3/23/2024 11:20,279,0.18,4.95,1.5,0.55,99,0.91,26.85,37.6,45.71606919,16.33547024,169
20,3/23/2024 11:21,300,0.22,5.32,1.5,0.56,99,0.92,27.15,37.17,45.71600287,16.33575391,169
97,3/23/2024 11:21,321,0.21,5.11,1.5,0.57,99,0.93,27.21,36.7,45.71642304,16.33622242,169
57,3/23/2024 11:22,343,0.16,4.68,1.5,0.6,99,0.95,27.25,36.2,45.71722682,16.33685712,169
92,3/23/2024 11:22,364,0.1,5.11,1.5,0.59,99,0.95,27.55,36.94,45.71821743,16.33763268,169
30,3/23/2024 11:22,385,0.1,4.95,1.5,0.61,99,0.97,27.95,37.9,45.71915232,16.3385182,169
128,3/23/2024 11:23,406,0.09,4.76,1.5,0.57,99,0.94,28.04,37.5,45.71980261,16.33947837,169
138,3/23/2024 11:23,427,0.18,4.91,1.5,0.54,99,0.91,28.24,36.2,45.719999,16.34047491,169
83,3/23/2024 11:23,448,0.16,4.93,1.5,0.55,99,0.93,28.42,36.47,45.7197111,16.3414681,169
141,3/23/2024 11:24,469,0.19,5.03,1.5,0.54,99,0.93,28.53,36,45.71899931,16.34241833,169
136,3/23/2024 11:24,505,0.28,5.39,1.5,0.6,99,0.96,29.03,35.6,45.71803791,16.34328773,169
115,3/23/2024 11:25,526,0.21,5.3,1.5,0.59,99,0.96,29.13,35,45.71706229,16.34404163,169
19,3/23/2024 11:25,547,0.19,5.16,1.5,0.6,99,0.96,29.9,34.25,45.7163113,16.34464998,169
27,3/23/2024 11:25,568,0.21,5.2,1.5,0.6,99,0.96,30,32.9,45.71596882,16.34508853,169
8,3/23/2024 11:26,589,0.21,5.15,1.5,0.6,99,0.96,30,30.47,45.7161187,16.34533979,169
49,3/23/2024 11:26,610,0.19,4.93,1.5,0.58,99,0.95,30,30,45.71672424,16.34539374,169
131,3/23/2024 11:26,631,0.21,5.09,1.5,0.57,99,0.95,30.09,29.3,45.71763718,16.34524824,169
127,3/23/2024 11:27,653,0.22,5.11,1.5,0.54,99,0.93,30.41,29.3,45.71863401,16.34490909,169
94,3/23/2024 11:27,678,0.22,5.28,1.5,0.54,99,0.94,30.14,33.15,45.71947067,16.3443898,169
71,3/23/2024 11:27,701,0.16,4.88,1.5,0.54,99,0.93,29.99,30.8,45.71994231,16.34371108,169
110,3/23/2024 11:28,724,0.1,4.82,1.5,0.53,99,0.93,30,29.1,45.71993346,16.34289999,169
4,3/23/2024 11:28,748,0.1,4.97,1.5,0.54,99,0.94,30.01,30,45.71944628,16.34198886,169
50,3/23/2024 11:29,771,0.14,4.89,1.5,0.53,99,0.93,29.91,32.4,45.71860006,16.34101401,169
72,3/23/2024 11:35,25,0.1,4.78,1.5,0.61,99,0.93,22.91,46.4,45.71760198,16.34001432,169
16,3/23/2024 11:36,49,0.17,4.95,1.5,0.57,99,0.92,22.91,45.1,45.7166964,16.33902963,169
38,3/23/2024 11:36,73,0.22,4.93,1.5,0.57,99,0.92,23,44.6,45.71610504,16.33809921,169
47,3/23/2024 11:37,97,0.2,4.89,1.5,0.57,99,0.93,23.02,46.1,45.71597269,16.33726014,169
13,3/23/2024 11:37,121,0.22,4.99,1.5,0.56,99,0.92,23.12,46.1,45.71633175,16.33654587,169
45,3/23/2024 11:37,145,0.21,4.77,1.5,0.59,99,0.94,23,46.4,45.71709431,16.33598489,169
132,3/23/2024 11:38,169,2.58,8.18,1.5,0.56,99,0.92,23,44.1,45.71807367,16.33559955,169
118,3/23/2024 11:38,193,7.43,12.81,1.5,0.53,99,0.89,21.99,39.9,45.71903004,16.33540522,169
78,3/23/2024 11:39,221,2.95,7.52,1.5,0.55,99,0.9,21.19,40.7,45.71972928,16.33540964,169
120,3/23/2024 11:39,245,5.09,9.74,1.5,0.53,99,0.89,21,42,45.719999,16.33561265,169
80,3/23/2024 11:43,4,0.02,4.47,1.5,0.52,99,0.89,20.09,42.16,45.71977524,16.33600614,169
7,3/23/2024 11:43,34,0.2,4.76,1.5,0.51,99,0.88,19.33,45,45.71911161,16.33657443,169
29,3/23/2024 11:44,73,5.09,9.61,1.5,0.49,99,0.86,19.23,44.5,45.71817058,16.33729486,169
59,3/23/2024 11:45,115,2.92,7.38,1.5,0.5,99,0.87,19.62,45.1,45.71718255,16.33813872,169
134,3/23/2024 11:45,139,4.63,9.04,1.5,0.5,99,0.86,19.43,44.2,45.71638942,16.33907235,169
65,3/23/2024 11:46,162,4.59,9.13,1.5,0.51,99,0.88,19.43,44.5,45.71598538,16.34005854,169
32,3/23/2024 11:46,186,6.53,11.03,1.5,0.51,99,0.86,20.03,44.3,45.71606936,16.34105798,169
68,3/23/2024 11:46,209,8.65,13.16,1.5,0.51,99,0.87,19.92,43.9,45.71662078,16.34203081,169
101,3/23/2024 11:47,232,0.87,5.22,1.5,0.5,99,0.87,20.23,44.5,45.71750465,16.34293826,169
85,3/23/2024 11:47,256,0.33,4.77,1.5,0.51,99,0.87,19.73,45,45.71850457,16.34374414,169
67,3/23/2024 11:48,279,4.62,9.07,1.5,0.51,99,0.86,20.12,44.1,45.71937571,16.34441633,169
25,3/23/2024 11:48,300,4.13,8.79,1.5,0.51,99,0.86,19.83,44,45.71990479,16.34492804,169
90,3/23/2024 11:49,346,0.58,4.8,1.5,0.51,99,0.87,19.43,44.3,45.71996228,16.34525885,169
95,3/23/2024 11:49,370,5.77,10.28,1.5,0.52,99,0.87,19.82,44.6,45.71953409,16.34539559,169
116,3/23/2024 11:49,393,2.18,6.42,1.5,0.51,99,0.88,19.52,44,45.71872507,16.3453328,169
105,3/23/2024 11:50,417,0.2,4.76,1.5,0.5,99,0.87,19.62,44.1,45.7177333,16.34507298,169
133,3/23/2024 11:50,441,1.46,5.61,1.5,0.5,99,0.86,19.83,44.5,45.71680158,16.34462649,169
145,3/23/2024 11:51,464,7.43,11.84,1.5,0.5,99,0.87,19.62,44.8,45.71615804,16.34401114,169
129,3/23/2024 11:51,487,9.98,14.19,1.5,0.51,99,0.86,20.12,45,45.71596024,16.34325145,169
12,3/23/2024 11:51,511,10.81,15.5,1.5,0.49,99,0.86,19.81,43.3,45.71625661,16.34237772,169
84,3/23/2024 11:52,534,0.6,4.96,1.5,0.5,99,0.86,19.51,43,45.71697459,16.34142476,169
99,3/23/2024 11:52,557,0.2,4.63,1.5,0.5,99,0.87,19.33,43.1,45.71793838,16.34043059,169
152,3/23/2024 11:53,581,0.2,4.68,1.5,0.5,99,0.88,17.03,40.03,45.71891203,16.33943482,169
5,3/23/2024 11:53,605,5.03,9.72,1.5,0.51,99,0.87,19.24,45.4,45.71965714,16.33847716,169
10,3/23/2024 11:53,628,6.68,11.1,1.5,0.51,99,0.87,19.92,43.6,45.71999129,16.33759579,169
54,3/23/2024 11:54,651,6.21,12.16,1.5,0.5,99,0.86,20.42,43.6,45.71983267,16.33682584,169
88,3/23/2024 11:54,675,3.92,8.14,1.5,0.48,99,0.85,19.91,43.2,45.71922011,16.33619801,169
98,3/23/2024 11:55,698,3.51,7.95,1.5,0.47,99,0.84,20.2,43.4,45.71830359,16.33573733,169
144,3/23/2024 11:55,719,1.92,6.37,1.5,0.49,99,0.86,19.74,43.6,45.7173075,16.33546217,169
114,3/23/2024 11:56,774,0.22,5.31,1.5,0.54,99,0.92,19.9,54.9,45.71647572,16.33538349,169
